player_id,web_name,team,gameweek,opponent,was_home,minutes,goals_scored,assists,clean_sheets,total_points,expected_goals,expected_assists,influence,creativity,threat,value,selected,transfers_in,transfers_out
16,Saka,Arsenal,22,NFO,0,33,0,0,0,1,0.13,0.38,18.8,48.8,21.0,102,2495807,72403,191599
16,Saka,Arsenal,23,MUN,1,90,0,0,0,2,0.07,0.43,18.6,45.5,33.0,101,2261528,25898,259926
16,Saka,Arsenal,24,LEE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100,1954699,49867,362220
16,Saka,Arsenal,25,SUN,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99,1283974,2586,663469
16,Saka,Arsenal,26,WOL,0,72,1,0,0,12,0.55,0.13,51.6,20.9,43.0,99,1004535,1052,288022
16,Saka,Arsenal,27,TOT,0,90,0,1,0,5,0.58,0.12,18.2,31.3,89.0,98,988553,19839,52133
16,Saka,Arsenal,28,CHE,1,90,0,0,0,2,0.01,0.29,4.2,14.4,2.0,98,980765,16690,25065
16,Saka,Arsenal,29,BHA,0,90,1,0,1,9,0.12,0.01,34.0,1.1,27.0,98,1029142,51276,13538
16,Saka,Arsenal,30,EVE,1,90,0,0,1,3,0.15,0.09,9.4,29.8,35.0,98,1071363,62028,16465
21,Rice,Arsenal,1,MUN,0,82,0,1,1,6,0.13,0.01,2.6,1.3,8.0,65,728172,0,0
21,Rice,Arsenal,2,LEE,1,90,0,1,1,6,0.0,0.54,25.2,50.0,2.0,65,902701,90194,67608
21,Rice,Arsenal,3,LIV,0,90,0,0,0,4,0.02,0.1,13.2,22.7,3.0,65,978824,106036,89448
21,Rice,Arsenal,4,NFO,1,22,0,0,0,1,0.0,0.03,3.4,1.3,2.0,65,1084679,125238,76016
21,Rice,Arsenal,5,MCI,1,90,0,0,0,3,0.0,0.16,18.8,37.0,0.0,65,1005474,33687,120228
21,Rice,Arsenal,6,NEW,0,90,0,1,0,9,0.0,0.2,47.6,53.7,4.0,65,949283,28350,97593
21,Rice,Arsenal,7,WHU,1,78,1,0,1,11,0.32,0.12,45.6,40.4,23.0,65,1033670,106096,43238
21,Rice,Arsenal,8,FUL,0,90,0,0,1,3,0.03,0.08,15.6,19.5,1.0,65,1233335,249814,65449
21,Rice,Arsenal,9,CRY,1,81,0,1,1,7,0.37,0.61,21.2,40.8,29.0,66,1522337,312829,38365
21,Rice,Arsenal,10,BUR,0,90,1,0,1,13,0.24,0.33,58.2,28.5,17.0,67,1814435,317296,42393
21,Rice,Arsenal,11,SUN,0,90,0,0,0,2,0.07,0.2,22.0,22.8,10.0,68,2488362,661250,17630
21,Rice,Arsenal,12,TOT,1,90,0,1,0,6,0.26,0.38,37.0,40.8,17.0,69,2728559,311596,72887
21,Rice,Arsenal,13,CHE,0,90,0,0,0,4,0.0,0.07,28.0,19.3,0.0,70,2830785,214309,70925
21,Rice,Arsenal,14,BRE,1,82,0,0,1,3,0.08,0.13,15.4,40.8,16.0,70,3053721,213389,43668
21,Rice,Arsenal,15,AVL,0,90,0,0,0,6,0.14,0.13,36.6,37.7,12.0,71,2704032,64521,361948
21,Rice,Arsenal,16,WOL,1,90,0,0,0,2,0.14,0.13,9.2,26.4,16.0,71,2759843,377088,349132
21,Rice,Arsenal,17,EVE,0,90,0,1,1,11,0.02,0.2,24.0,29.8,3.0,71,2810873,194930,168327
21,Rice,Arsenal,18,BHA,1,90,0,1,0,5,0.24,0.15,13.4,23.2,16.0,72,3384120,487264,36799
